no. of nodes,greedy_runtime,bounded_search_runtime,Gurobi_runtime,greedy_solution,bounded_search_solution,Gurobi_solution
120,0.005000114440917969,1.6880965232849119,0.02500128746032715,62,62,62
121,0.005000591278076172,1.3240759372711182,0.02300119400024414,62,62,62
122,0.00500035285949707,1.557088851928711,0.034002065658569336,63,62,62
123,0.007000446319580078,1.6160924434661863,0.029001474380493164,64,63,63
124,0.00500035285949707,2.170124053955078,0.021001100540161133,65,64,64
125,0.005000114440917969,1.92611026763916,0.029001712799072262,66,65,65
126,0.006000518798828125,2.496142864227295,0.03300189971923828,68,66,66
127,0.006000041961669922,3.3681926727294917,0.04100227355957031,69,67,67
128,0.006000280380249024,4.250243425369264,0.03300166130065918,70,68,68
129,0.005000114440917969,9.649552106857302,0.02800154685974121,71,69,69
130,0.006000518798828125,12.798732042312622,0.036002159118652344,72,70,70
131,0.006000041961669922,11.477656364440918,0.039002418518066406,72,70,70
132,0.006000280380249024,13.539774417877195,0.05600309371948242,73,71,71
133,0.006000518798828125,36.864108562469475,0.036002159118652344,74,72,72
134,0.006000280380249024,21.49022912979126,0.04300236701965332,74,72,72
135,0.006000041961669922,20.708184480667114,0.03800201416015625,74,72,72
136,0.006000518798828125,18.86207890510559,0.047002553939819336,75,72,72
137,0.007000446319580078,23.12032222747803,0.036002159118652344,76,72,72
138,0.006000280380249024,29.668696880340576,0.034001827239990234,77,73,73
139,0.006000280380249024,9.33553409576416,0.03800201416015625,77,73,73
140,0.00700068473815918,12.949740886688232,0.029001712799072262,78,74,74
141,0.006000280380249024,7.054403305053711,0.03000187873840332,77,74,74
142,0.006000280380249024,6.743385553359985,0.04000234603881836,77,74,74
143,0.00700068473815918,5.603320360183716,0.029001712799072262,77,74,74
144,0.00700068473815918,6.516372680664063,0.031001806259155273,78,75,75
145,0.007000207901000977,11.491657257080078,0.029001712799072262,79,76,76
146,0.00700068473815918,14.30081820487976,0.029001235961914062,78,76,76
147,0.006000280380249024,13.837791681289673,0.03500199317932129,79,77,77
148,0.008000373840332031,13.673782110214233,0.027001619338989258,79,77,77
149,0.008000612258911133,23.219327926635746,0.02500152587890625,80,78,78
150,0.007000207901000977,61.08349370956421,0.034002065658569336,81,79,79
151,0.007000207901000977,40.64632511138915,0.029001474380493164,81,79,79
152,0.007000446319580078,62.527575969696045,0.03200221061706543,82,80,80
153,0.007000446319580078,56.429227590560906,0.03300189971923828,82,80,80
154,0.008000612258911133,59.21438694000244,0.032001733779907234,83,81,81
155,0.008000612258911133,108.8632266521454,0.032001733779907234,84,82,82
156,0.007000446319580078,55.67718458175659,0.0370020866394043,85,83,83
157,0.008000373840332031,129.37239980697632,0.03500175476074219,86,84,84
158,0.007000207901000977,292.16271042823786,0.039002418518066406,87,85,85
159,0.008000612258911133,361.5656802654266,0.03500223159790039,88,86,86
160,0.008000373840332031,533.3265044689178,0.036002159118652344,89,86,86
161,0.008000612258911133,530.4463398456573,0.032001733779907234,89,86,86
162,0.008000612258911133,352.5391640663147,0.03800225257873535,89,87,86
163,0.008000373840332031,784.3528623580933,0.034002065658569336,90,88,87
164,0.009000539779663086,731.8938620090485,0.04100251197814941,90,88,87
165,0.009000778198242188,490.4690532684326,0.03100156784057617,90,90,87
166,0.009000778198242188,544.7721590995789,0.039002418518066406,90,88,88
167,0.009000539779663086,899.9344730377197,0.03500223159790039,91,89,89
